case_name,category,label,stake_eur,floor_eur,oracle_eur,fitness,noop_score,noop_pass,rules_score,rules_pass,llm_score,llm_pass,claude_score,claude_pass,ds-cautious_score,ds-cautious_pass,ds-balanced_score,ds-balanced_pass,ds-aggressive_score,ds-aggressive_pass
G00-018,WEATHER,"under-forecast sun (Zaragoza, midday)",4768,0,-4768,1.039,0.0,0,0.0,0,0.2582,0,0.2993,0,0.1954,0,0.576,1,0.0,0
G00-019,COMBO,"silent fault (Zaragoza 26%, 16:00) + missed cloud bank (Munich, afternoon)",4621,9214,4593,1.0243,0.0,0,0.0291,0,0.3929,0,0.4568,0,0.4252,0,0.2616,0,0.1252,0
G00-020,WEATHER,"under-forecast sun (Zaragoza, evening) on a high-evening-price day",3983,0,-3983,0.9498,0.0,0,0.0,0,0.4785,0,0.3067,0,0.4193,0,0.4359,0,0.0,0
G00-021,COMBO,"silent fault (Valencia 47%, 13:30) + under-forecast sun (Zaragoza, midday) on a high-evening-price day",12962,10145,-2818,0.9483,0.0,0,0.2943,0,0.5298,1,0.2767,0,0.5799,1,0.2501,0,0.0,0
G00-022,WEATHER,"under-forecast sun (Valencia, morning) + under-forecast sun (Munich, afternoon) on a high-evening-price day",3831,0,-3831,0.9291,0.0,0,0.0,0,0.3573,0,0.2995,0,0.394,0,0.4377,0,0.0,0
G00-023,ECLIPSE,"silent fault (Zaragoza 39%, 07:30) + missed cloud bank (Zaragoza, midday) + under-forecast sun (Zaragoza, afternoon) + eclipse overlay on a high-evening-price day",10712,8637,-2075,0.9023,0.0,0,0.3771,0,0.3185,0,0.2912,0,0.1272,0,0.3075,0,0.0025,0
G00-024,COMBO,"silent fault (Zaragoza 52%, 17:45) + under-forecast sun (Valencia, evening)",3637,4159,522,0.901,0.0,0,0.0012,0,0.233,0,0.0761,0,0.3883,0,0.1539,0,0.2306,0
G00-025,COMBO,"silent fault (Valencia 24%, 07:30) + under-forecast sun (Valencia, evening) + under-forecast sun (Valencia, afternoon) on a high-evening-price day",7009,3124,-3885,0.9007,0.0,0,0.2653,0,0.1641,0,0.1678,0,0.164,0,0.1678,0,0.1678,0
G00-026,WEATHER,"missed cloud bank (Zaragoza, afternoon) + missed cloud bank (Munich, midday) on a high-evening-price day",7180,15954,8775,0.8986,0.0,0,0.3062,0,0.0743,0,0.0,0,0.3246,0,0.6074,1,0.2347,0
G00-027,WEATHER,"missed cloud bank (Munich, afternoon) + missed cloud bank (Valencia, midday)",4426,9837,5410,0.8526,0.0,0,0.1839,0,0.1597,0,0.2353,0,0.4655,0,0.4948,0,0.0,0
G00-028,FAULT,"silent fault (Zaragoza 23%, 15:15) on a high-evening-price day",3320,5150,1831,0.8505,0.0,0,0.0824,0,0.6926,1,0.6818,1,0.2961,0,0.6818,1,0.2444,0
G00-029,ECLIPSE,"missed cloud bank (Zaragoza, evening) + eclipse overlay",3465,7701,4236,0.8463,0.0,0,0.0541,0,0.4911,0,0.0506,0,0.2822,0,0.4741,0,0.2963,0
